Filename,MethodName,LineNumber,Length,Parameters,IfDepth,CyclomaticComplexity,Toxicity
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.PegaRgb,1799,192,0,1,97,6,942
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\funcoes.pas,ToRgb,16,106,2,1,42,3,575
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.SpeedButton3Click,833,116,1,3,31,3,242
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.gravar,1389,133,0,2,18,2,913
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.SpeedButton1Click,668,69,1,3,16,2,029
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.visualiza,1049,59,1,4,10,1,654
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.termina,1141,54,1,3,8,1,508
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.tamanho,2361,47,1,4,9,1,462
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.apagatab,1231,46,1,1,5,1,325
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.SpeedButton6Click,1292,45,1,1,4,1,313
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.FormCreate,776,44,1,0,3,1,300
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.mudapaleta,2197,35,0,1,5,1,188
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.preenche,1357,16,3,2,9,1,125
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.Image1Click,2118,22,1,1,2,1,025
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.SpeedButton8Click,2250,22,1,1,3,1,025
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.PageControl1Change,2317,20,1,2,4,0,558
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.terminaform,2085,20,0,1,3,0,425
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.Tab_palClick,1604,12,1,1,3,0,367
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.Button2Click,2296,13,1,1,2,0,338
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.montaclut,1713,12,0,0,4,0,317
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.Button4Click,2440,8,1,1,3,0,317
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.ImagemClick,1774,11,1,1,2,0,313
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.ScrollBar1Change,2026,11,1,1,2,0,313
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.ScrollBar2Change,2046,11,1,1,2,0,313
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.ScrollBar3Change,2065,11,1,1,2,0,313
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.pinta,1673,6,1,1,3,0,292
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.CoresmanChange,1699,6,1,1,3,0,292
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.RadioButton2Click,1625,8,1,1,2,0,275
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.RadioButton4Click,1639,8,1,1,2,0,275
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.SpeedButton7Click,2176,12,1,0,2,0,275
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.Clickclut,2153,13,1,0,1,0,246
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.Tab_grafClick,1594,5,1,1,2,0,237
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.OffsetpalChange,1689,3,1,1,2,0,212
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\funcoes.pas,elev,178,3,2,0,2,0,204
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.OffsetgrafChange,1742,2,1,1,2,0,200
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.largmanChange,1751,2,1,1,2,0,200
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.altmanChange,1760,2,1,1,2,0,200
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.RadioButton1Click,1652,6,1,0,1,0,158
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\Unit1.pas,TForm1.RadioButton3Click,1663,6,1,0,1,0,158
E:\Documentos\Mis Proyectos Delphi\WE Image Manager 2K23\funcoes.pas,ToHexa,163,6,1,0,1,0,158
